"TIME_PERIOD","Government consumption expenditures and gross investment","Gross private domestic investment","Net exports of goods and services","Personal consumption expenditures","Gross domestic product"
"1947-Q1",16.5,14.8,4.5,64.3,100
"1947-Q2",16.4,14,4.6,65,100
"1947-Q3",15.9,14,4.7,65.4,100
"1947-Q4",15.4,16.6,3.6,64.5,100
"1948-Q1",15.5,17.7,2.7,64.1,100
"1948-Q2",15.8,18.4,1.9,63.9,100
"1948-Q3",16,18.8,1.8,63.4,100
"1948-Q4",16.7,18.3,1.6,63.4,100
"1949-Q1",17.7,15.7,2.4,64.3,100
"1949-Q2",18.6,13.3,2.3,65.7,100
"1949-Q3",18.5,14.5,1.9,65.1,100
"1949-Q4",18.5,13.8,1.1,66.6,100
"1950-Q1",17.5,16.6,0.8,65.1,100
"1950-Q2",17.1,18,0.6,64.3,100
"1950-Q3",16.2,19,-0.2,65,100
"1950-Q4",16.8,21.4,,61.8,100
"1951-Q1",18.5,19.2,0.1,62.2,100
"1951-Q2",20.3,19.6,0.6,59.5,100
"1951-Q3",22.3,17.6,1.1,59.1,100
"1951-Q4",23.4,16,1.2,59.4,100
"1952-Q1",23.7,16.1,1,59.2,100
"1952-Q2",24.7,14.7,0.5,60.1,100
"1952-Q3",24.8,15.5,,59.7,100
"1952-Q4",24.6,15.9,-0.3,59.8,100
"1953-Q1",24.7,15.9,-0.2,59.6,100
"1953-Q2",25,15.8,-0.3,59.5,100
"1953-Q3",24.7,15.7,-0.1,59.7,100
"1953-Q4",25.1,14.6,-0.1,60.4,100
"1954-Q1",24.6,14.4,-0.1,61,100
"1954-Q2",24,14.3,0.1,61.6,100
"1954-Q3",23.3,15.1,0.1,61.4,100
"1954-Q4",22.9,15.5,0.3,61.3,100
"1955-Q1",22.3,16.6,0.3,60.8,100
"1955-Q2",22,17.2,,60.8,100
"1955-Q3",21.9,17.3,0.2,60.6,100
"1955-Q4",21.4,18,0.1,60.5,100
"1956-Q1",21.6,17.8,0.1,60.5,100
"1956-Q2",22.1,17.2,0.4,60.3,100
"1956-Q3",21.8,17.3,0.6,60.3,100
"1956-Q4",22,16.7,1,60.2,100
"1957-Q1",22.5,16.5,1,60,100
"1957-Q2",22.5,16.5,0.9,60.2,100
"1957-Q3",22.4,16.5,0.8,60.2,100
"1957-Q4",23.2,14.9,0.7,61.1,100
"1958-Q1",23.5,14.2,0.2,62,100
"1958-Q2",24.1,13.8,0.1,62,100
"1958-Q3",23.7,14.8,0.2,61.3,100
"1958-Q4",23.7,16,-0.1,60.4,100
"1959-Q1",23,16.3,0.1,60.6,100
"1959-Q2",22.7,17,,60.3,100
"1959-Q3",22.8,15.9,0.1,61.1,100
"1959-Q4",22.5,16.3,0.1,61.1,100
"1960-Q1",21.6,17.8,0.5,60.1,100
"1960-Q2",21.9,16,0.8,61.3,100
"1960-Q3",22.5,15.8,0.8,60.9,100
"1960-Q4",23.1,14,1.1,61.8,100
"1961-Q1",23.2,14.4,1.1,61.4,100
"1961-Q2",22.9,15.1,1,61,100
"1961-Q3",23,16,0.7,60.3,100
"1961-Q4",23.1,16,0.8,60.2,100
"1962-Q1",23.1,16.5,0.7,59.7,100
"1962-Q2",23.1,16,1,59.9,100
"1962-Q3",23.4,16.1,0.6,59.9,100
"1962-Q4",23.5,15.5,0.5,60.5,100
"1963-Q1",23.2,16,0.6,60.2,100
