date,"inflation rate, percent","civilian unemployment rate, percent",
1/1/1948,10.23,3.4,
3/1/1948,6.849,4,
4/1/1948,8.676,3.9,
6/1/1948,9.545,3.6,
7/1/1948,9.91,3.6,
9/1/1948,6.522,3.8,
10/1/1948,6.087,3.7,
12/1/1948,2.991,4,
1/1/1949,1.266,4.3,
3/1/1949,1.709,5,
4/1/1949,0.4202,5.3,
6/1/1949,-0.8299,6.2,
7/1/1949,-2.869,6.7,
9/1/1949,-2.449,6.6,
10/1/1949,-2.869,7.9,
12/1/1949,-2.075,6.6,
1/1/1950,-2.083,6.5,
3/1/1950,-0.8403,6.3,
4/1/1950,-1.255,5.8,
6/1/1950,-0.4184,5.4,
7/1/1950,1.688,5,
9/1/1950,2.092,4.4,
10/1/1950,3.797,4.2,
12/1/1950,5.932,4.3,
1/1/1951,8.085,3.7,
3/1/1951,9.322,3.4,
4/1/1951,9.322,3.1,
6/1/1951,8.824,3.2,
7/1/1951,7.469,3.1,
9/1/1951,6.967,3.3,
10/1/1951,6.504,3.5,
12/1/1951,6,3.1,
1/1/1952,4.331,3.2,
3/1/1952,1.938,2.9,
4/1/1952,2.326,2.9,
6/1/1952,2.317,3,
7/1/1952,3.089,3.2,
9/1/1952,2.299,3.1,
10/1/1952,1.908,3,
12/1/1952,0.7547,2.7,
1/1/1953,0.3774,2.9,
3/1/1953,1.141,2.6,
4/1/1953,0.7576,2.7,
6/1/1953,1.132,2.5,
7/1/1953,0.3745,2.6,
9/1/1953,0.7491,2.9,
10/1/1953,1.124,3.1,
12/1/1953,0.7491,4.5,
1/1/1954,1.128,4.9,
3/1/1954,1.128,5.7,
4/1/1954,0.7519,5.9,
6/1/1954,0.3731,5.6,
7/1/1954,0.3731,5.8,
9/1/1954,-0.3717,6.1,
10/1/1954,-0.7407,5.7,
12/1/1954,-0.7435,5,
1/1/1955,-0.7435,4.9,
3/1/1955,-0.7435,4.6,
4/1/1955,-0.3731,4.7,
6/1/1955,-0.7435,4.2,
7/1/1955,-0.3717,4,
9/1/1955,0.3731,4.1,
10/1/1955,0.3731,4.3,
12/1/1955,0.3745,4.2,
1/1/1956,0.3745,4,
3/1/1956,0.3745,4.2,
4/1/1956,0.7491,4,
6/1/1956,1.873,4.3,
7/1/1956,2.239,4.4,
9/1/1956,1.859,3.9,
10/1/1956,2.23,3.9,
12/1/1956,2.985,4.2,
1/1/1957,2.985,4.2,
3/1/1957,3.731,3.7,
4/1/1957,3.717,3.9,
6/1/1957,3.309,4.3,
7/1/1957,3.285,4.2,
9/1/1957,3.285,4.4,
10/1/1957,2.909,4.5,
12/1/1957,2.899,5.2,
1/1/1958,3.623,5.8,
3/1/1958,3.597,6.7,
4/1/1958,3.584,7.4,
6/1/1958,2.847,7.3,
7/1/1958,2.473,7.5,
9/1/1958,2.12,7.1,
10/1/1958,2.12,6.7,
12/1/1958,1.761,6.2,
1/1/1959,1.399,6,
3/1/1959,0.3472,5.6,
4/1/1959,0.346,5.2,
6/1/1959,0.692,5,
7/1/1959,0.6897,5.1,
9/1/1959,1.384,5.5,
10/1/1959,1.73,5.7,
12/1/1959,1.73,5.3,
1/1/1960,1.034,5.2,
3/1/1960,1.73,5.4,
4/1/1960,1.724,5.2,
6/1/1960,1.718,5.4,
7/1/1960,1.37,5.5,
9/1/1960,1.024,5.5,
10/1/1960,1.361,6.1,
12/1/1960,1.361,6.6,
1/1/1961,1.706,6.6,
3/1/1961,1.361,6.9,
4/1/1961,1.017,7,
6/1/1961,0.6757,6.9,
7/1/1961,1.351,7,
9/1/1961,1.351,6.7,
10/1/1961,0.6711,6.5,
12/1/1961,0.6711,6,
1/1/1962,0.6711,5.8,
3/1/1962,1.007,5.6,
4/1/1962,1.342,5.6,
6/1/1962,1.342,5.5,
7/1/1962,1,5.4,
9/1/1962,1.333,5.6,
10/1/1962,1.333,5.4,
12/1/1962,1.333,5.5,
1/1/1963,1.333,5.7,
3/1/1963,1.329,5.7,
4/1/1963,0.9934,5.7,
6/1/1963,1.325,5.6,
7/1/1963,1.32,5.6,
9/1/1963,0.9868,5.5,
10/1/1963,1.316,5.5,
12/1/1963,1.645,5.5,
1/1/1964,1.645,5.6,
3/1/1964,1.311,5.4,
4/1/1964,1.311,5.3,
6/1/1964,1.307,5.2,
7/1/1964,1.303,4.9,
9/1/1964,1.303,5.1,
10/1/1964,0.974,5.1,
12/1/1964,0.9709,5,
1/1/1965,0.9709,4.9,
3/1/1965,1.294,4.7,
4/1/1965,1.618,4.8,
6/1/1965,1.935,4.6,
7/1/1965,1.608,4.4,
9/1/1965,1.608,4.3,
10/1/1965,1.929,4.2,
