Date,In US dollars
11/3/1980,1.60E+12
12/1/1980,1.60E+12
12/29/1980,1.60E+12
1/26/1981,1.60E+12
2/23/1981,1.61E+12
3/23/1981,1.63E+12
4/20/1981,1.67E+12
5/18/1981,1.66E+12
6/15/1981,1.67E+12
7/13/1981,1.69E+12
8/10/1981,1.70E+12
9/7/1981,1.71E+12
10/5/1981,1.72E+12
11/2/1981,1.73E+12
11/30/1981,1.75E+12
12/28/1981,1.76E+12
1/25/1982,1.76E+12
2/22/1982,1.76E+12
3/22/1982,1.78E+12
4/19/1982,1.81E+12
5/17/1982,1.81E+12
6/14/1982,1.83E+12
7/12/1982,1.84E+12
8/9/1982,1.85E+12
9/6/1982,1.86E+12
10/4/1982,1.87E+12
11/1/1982,1.88E+12
11/29/1982,1.89E+12
12/27/1982,1.92E+12
1/24/1983,1.96E+12
2/21/1983,1.99E+12
3/21/1983,2.01E+12
4/18/1983,2.04E+12
5/16/1983,2.04E+12
6/13/1983,2.06E+12
7/11/1983,2.08E+12
8/8/1983,2.08E+12
9/5/1983,2.08E+12
10/3/1983,2.09E+12
10/31/1983,2.10E+12
11/28/1983,2.12E+12
12/26/1983,2.13E+12
1/23/1984,2.14E+12
2/20/1984,2.15E+12
3/19/1984,2.17E+12
4/16/1984,2.21E+12
5/14/1984,2.19E+12
6/11/1984,2.22E+12
7/9/1984,2.24E+12
8/6/1984,2.23E+12
9/3/1984,2.23E+12
10/1/1984,2.24E+12
10/29/1984,2.25E+12
11/26/1984,2.29E+12
12/24/1984,2.32E+12
1/21/1985,2.34E+12
2/18/1985,2.34E+12
3/18/1985,2.36E+12
4/15/1985,2.39E+12
5/13/1985,2.38E+12
6/10/1985,2.42E+12
7/8/1985,2.44E+12
8/5/1985,2.44E+12
9/2/1985,2.44E+12
9/30/1985,2.45E+12
10/28/1985,2.46E+12
11/25/1985,2.48E+12
12/23/1985,2.50E+12
1/20/1986,2.51E+12
2/17/1986,2.50E+12
3/17/1986,2.53E+12
4/14/1986,2.57E+12
5/12/1986,2.57E+12
6/9/1986,2.61E+12
7/7/1986,2.64E+12
8/4/1986,2.64E+12
9/1/1986,2.65E+12
9/29/1986,2.65E+12
10/27/1986,2.68E+12
11/24/1986,2.70E+12
12/22/1986,2.74E+12
1/19/1987,2.75E+12
2/16/1987,2.74E+12
3/16/1987,2.75E+12
4/13/1987,2.79E+12
5/11/1987,2.76E+12
6/8/1987,2.79E+12
7/6/1987,2.80E+12
8/3/1987,2.78E+12
8/31/1987,2.78E+12
9/28/1987,2.78E+12
10/26/1987,2.81E+12
11/23/1987,2.82E+12
12/21/1987,2.84E+12
1/18/1988,2.87E+12
2/15/1988,2.86E+12
3/14/1988,2.89E+12
4/11/1988,2.94E+12
5/9/1988,2.92E+12
6/6/1988,2.95E+12
7/4/1988,2.96E+12
8/1/1988,2.95E+12
8/29/1988,2.94E+12
9/26/1988,2.93E+12
10/24/1988,2.95E+12
11/21/1988,2.99E+12
12/19/1988,3.00E+12
1/16/1989,3.01E+12
2/13/1989,2.99E+12
3/13/1989,3.00E+12
4/10/1989,3.04E+12
5/8/1989,3.00E+12
6/5/1989,3.03E+12
7/3/1989,3.04E+12
7/31/1989,3.05E+12
8/28/1989,3.06E+12
9/25/1989,3.07E+12
10/23/1989,3.11E+12
11/20/1989,3.14E+12
12/18/1989,3.16E+12
1/15/1990,3.19E+12
2/12/1990,3.17E+12
3/12/1990,3.20E+12
4/9/1990,3.24E+12
5/7/1990,3.20E+12
6/4/1990,3.21E+12
7/2/1990,3.22E+12
7/30/1990,3.21E+12
8/27/1990,3.23E+12
9/24/1990,3.23E+12
10/22/1990,3.25E+12
11/19/1990,3.27E+12
12/17/1990,3.29E+12
1/14/1991,3.30E+12
2/11/1991,3.30E+12
3/11/1991,3.33E+12
4/8/1991,3.37E+12
5/6/1991,3.33E+12
6/3/1991,3.34E+12
7/1/1991,3.35E+12
7/29/1991,3.33E+12
8/26/1991,3.34E+12
9/23/1991,3.33E+12
10/21/1991,3.36E+12
11/18/1991,3.38E+12
12/16/1991,3.40E+12
1/13/1992,3.40E+12
2/10/1992,3.40E+12
3/9/1992,3.42E+12
4/6/1992,3.43E+12
5/4/1992,3.39E+12
6/1/1992,3.38E+12
6/29/1992,3.36E+12
7/27/1992,3.37E+12
8/24/1992,3.38E+12
9/21/1992,3.40E+12
10/19/1992,3.42E+12
11/16/1992,3.44E+12
12/14/1992,3.45E+12
1/11/1993,3.45E+12
2/8/1993,3.41E+12
3/8/1993,3.42E+12
4/5/1993,3.44E+12
5/3/1993,3.41E+12
5/31/1993,3.42E+12
6/28/1993,3.41E+12
7/26/1993,3.42E+12
8/23/1993,3.43E+12
9/20/1993,3.44E+12
10/18/1993,3.46E+12
