inflation rate,,civilian unemployment rate,
Date,In percent per year,Date,In percent
"January 01, 1948",10.23,"January 01, 1948",3.4
"March 01, 1948",6.849,"March 01, 1948",4
"April 01, 1948",8.676,"April 01, 1948",3.9
"June 01, 1948",9.545,"June 01, 1948",3.6
"July 01, 1948",9.91,"July 01, 1948",3.6
"September 01, 1948",6.522,"September 01, 1948",3.8
"October 01, 1948",6.087,"October 01, 1948",3.7
"December 01, 1948",2.991,"December 01, 1948",4
"January 01, 1949",1.266,"January 01, 1949",4.3
"March 01, 1949",1.709,"March 01, 1949",5
"April 01, 1949",0.4202,"April 01, 1949",5.3
"June 01, 1949",-0.8299,"June 01, 1949",6.2
"July 01, 1949",-2.869,"July 01, 1949",6.7
"September 01, 1949",-2.449,"September 01, 1949",6.6
"October 01, 1949",-2.869,"October 01, 1949",7.9
"December 01, 1949",-2.075,"December 01, 1949",6.6
"January 01, 1950",-2.083,"January 01, 1950",6.5
"March 01, 1950",-0.8403,"March 01, 1950",6.3
"April 01, 1950",-1.255,"April 01, 1950",5.8
"June 01, 1950",-0.4184,"June 01, 1950",5.4
"July 01, 1950",1.688,"July 01, 1950",5
"September 01, 1950",2.092,"September 01, 1950",4.4
"October 01, 1950",3.797,"October 01, 1950",4.2
"December 01, 1950",5.932,"December 01, 1950",4.3
"January 01, 1951",8.085,"January 01, 1951",3.7
"March 01, 1951",9.322,"March 01, 1951",3.4
"April 01, 1951",9.322,"April 01, 1951",3.1
"June 01, 1951",8.824,"June 01, 1951",3.2
"July 01, 1951",7.469,"July 01, 1951",3.1
"September 01, 1951",6.967,"September 01, 1951",3.3
"October 01, 1951",6.504,"October 01, 1951",3.5
"December 01, 1951",6,"December 01, 1951",3.1
"January 01, 1952",4.331,"January 01, 1952",3.2
"March 01, 1952",1.938,"March 01, 1952",2.9
"April 01, 1952",2.326,"April 01, 1952",2.9
"June 01, 1952",2.317,"June 01, 1952",3
"July 01, 1952",3.089,"July 01, 1952",3.2
"September 01, 1952",2.299,"September 01, 1952",3.1
"October 01, 1952",1.908,"October 01, 1952",3
"December 01, 1952",0.7547,"December 01, 1952",2.7
